Subject,Board,Tier,Topic,Subtopic,Difficulty,ID,Question,Answer,Notes
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_1,What is the difference between eukaryotic and prokaryotic cells? (2),"(1) Eukaryotic cells have a nucleus / are more complex
(2) Prokaryotic cells do not have a nucleus / are smaller and simpler",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_2,What are eukaryotes? (1),Organisms made of eukaryotic cells,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_3,What are prokaryotes? (1),Organisms made of prokaryotic cells,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_4,Are animal cells prokaryotic or eukaryotic? (1),Eukaryotic,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_5,Are plant cells prokaryotic or eukaryotic? (1),Eukaryotic,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_6,Are bacteria cells prokaryotic or eukaryotic? (1),Prokaryotic,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_7,What is the length of a eukaryotic cell? (1),10–100 μm,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_8,What is the length of a prokaryotic cell? (1),0.2–2 μm,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_9,What is the length of an average animal cell? (1),10–30 μm,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_10,What is the length of an average plant cell? (1),10–100 μm,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_11,What is the length of a virus? (1),100 nm,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_12,How many millimetres are in a centimetre? (1),10 mm,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_13,How many micrometres are in a millimetre? (1),1000 μm,
